track_name,popularity,artists_names,artist_genres,danceability,energy
Harder To Breathe,66,Maroon 5,pop,0.662,0.908
Sunday Morning,66,Maroon 5,pop,0.607,0.76
Just a Friend 2002 - Radio Edit,65,Mario,dance pop;r&b;southern hip hop;urban contemporary,0.538,0.677
Amargo Adiós,76,Inspector,latin alternative;latin rock;mexican rock;rock en espanol;ska mexicano,0.607,0.666
Where Are You Going,59,Dave Matthews Band,jam band;neo mellow;pop rock,0.444,0.583
Jerk It Out,69,Caesars,swedish indie rock,0.58,0.981
Si Ella Supiera,65,Cardenales De Nuevo León,banda;musica mexicana;norteno,0.85,0.602
Green Eyes,68,Coldplay,permanent wave;pop,0.607,0.405
Prayer,62,Disturbed,alternative metal;nu metal;rap metal;rock,0.65,0.914
Don't Mess With My Man (feat. Brian Casey & Brandon Casey),58,Nivea;Brian Casey;Brandon Casey,atl hip hop;contemporary r&b;hip pop;r&b;urban contemporary,0.879,0.73
Purple,64,Nas,conscious hip hop;east coast hip hop;gangster rap;hardcore hip hop;hip hop;queens hip hop;rap,0.865,0.595
Makin' Good Love,58,Avant,contemporary r&b;r&b;urban contemporary,0.794,0.634
The Man Comes Around,64,Johnny Cash,arkansas country;outlaw country;rock,0.635,0.584
Dragostea Din Tei,59,O-Zone,eurodance;europop;moldovan pop,0.812,0.968
Gangsta Lovin',65,Eve;Alicia Keys,contemporary r&b;dance pop;hip pop;philly rap;r&b;urban contemporary,0.723,0.84
Arboles De La Barranca,64,El Coyote Y Su Banda Tierra Santa,banda;musica mexicana,0.708,0.605
Hailie's Song,66,Eminem,detroit hip hop;hip hop;rap,0.787,0.731
Hey Sexy Lady,71,Shaggy;Brian & Tony Gold,pop rap;reggae fusion,0.957,0.554
Mi primer millon,75,Bacilos,colombian pop;latin alternative;latin pop;rock en espanol,0.745,0.924
Te Lo Pido por Favor,72,Jaguares,latin alternative;latin pop;latin rock;mexican rock;rock en espanol,0.648,0.659
Oops (Oh My) [feat. Missy Elliott],63,Tweet;Missy Elliott,contemporary r&b;hip pop;neo soul;r&b;urban contemporary,0.66,0.536
Báilame,64,Los Tigrillos,cumbia sonorense;musica costena;musica mexicana;norteno;tejano,0.87,0.9
"Yoshimi Battles the Pink Robots, Pt. 1",60,The Flaming Lips,alternative rock;chamber pop;indie rock;indietronica;noise pop;okc indie;singer-songwriter,0.555,0.902
Demolition Lovers,63,My Chemical Romance,emo;modern rock;pop punk;pov: indie;rock,0.38,0.797
Quiero Saber De Ti,67,Xochilt,cumbia sonidera,0.781,0.46
Que No Se Apague La Lumbre,60,Los Invasores De Nuevo León,banda;musica mexicana;norteno,0.55,0.512
Word of God Speak,59,MercyMe,ccm;christian alternative rock;christian indie;christian music,0.306,0.304
Baby,61,Ashanti,dance pop;hip pop;r&b;urban contemporary,0.567,0.58
Get Free,65,The Vines,alternative rock;dance-punk;garage rock;modern rock,0.502,0.978
Designated Drinker (with George Strait) - A Duet With George Strait,60,Alan Jackson;George Strait,country,0.719,0.639
We Ready,58,Archie Eversole,atl hip hop,0.756,0.532
Innervision,66,System Of A Down,alternative metal;nu metal;rap metal;rock,0.445,0.953
El Chueco Galindo,62,Grupo Laberinto,cumbia sonorense;musica sonorense;tecnobanda;tejano,0.653,0.452
The Best Of Me,61,The Starting Line,emo;neon pop punk;philly indie;pop punk;screamo,0.533,0.802
"2 Aquarelles: Lento, ma non troppo",65,Frederick Delius;Royal Northern Sinfonia;David Lloyd-Jones,classical;early modern classical;impressionism;post-romantic era,0.176,0.0534
I Gotta Find Peace of Mind - Live,62,Ms. Lauryn Hill,alternative r&b;conscious hip hop;hip hop;neo soul;new jersey rap;r&b;soul,0.495,0.505
Why Don't We Fall in Love,60,Amerie,contemporary r&b;hip pop;neo soul;r&b;urban contemporary,0.551,0.773
"Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande",68,George Frideric Handel;Alexander Briger;Academy of St. Martin in the Fields,baroque;classical;early music;english baroque;german baroque,0.0939,0.0336
El Primer Tonto,68,Cardenales De Nuevo León,banda;musica mexicana;norteno,0.798,0.635
Hey Ma,60,Cam’ron;Juelz Santana;Freekey Zeekey;Toya,battle rap;east coast hip hop;harlem hip hop;southern hip hop,0.791,0.666
(You're The) Devil in Disguise,67,Elvis Presley,rock-and-roll;rockabilly,0.481,0.733
El Problema,74,Ricardo Arjona,cantautor;latin arena pop;latin pop,0.626,0.714
Hopelessly Devoted To You,58,Olivia Newton-John,adult standards;australian dance;disco;mellow gold;soft rock,0.574,0.514
Fotografía,72,Juanes;Nelly Furtado,colombian pop;latin pop;mexican pop;rock en espanol,0.486,0.715
This Love,65,Maroon 5,pop,0.712,0.862
Jamming,66,Bob Marley & The Wailers,reggae;roots reggae,0.941,0.462
Say I Yi Yi,58,Ying Yang Twins,atl hip hop;crunk;dirty south rap;old school atlanta hip hop;southern hip hop,0.782,0.627
Thugz Mansion - 7 Remix,65,2Pac;Anthony Hamilton,g funk;gangster rap;hip hop;rap;west coast rap,0.703,0.639
"You Think I Ain't Worth A Dollar, But I Feel Like A Millionaire",58,Queens of the Stone Age,alternative metal;alternative rock;grunge;modern rock;nu metal;palm desert scene;rock;stoner metal;stoner rock,0.478,0.861
Red Ragtop,58,Tim McGraw,contemporary country;country;country road,0.551,0.671
Girls & Boys,64,Good Charlotte,alternative metal;modern rock;neon pop punk;pop punk;pop rock;post-grunge,0.663,0.72
Guaracha Sabrosona,67,Alberto Pedraza,cumbia sonidera;tropical,0.89,0.504
Beautiful Mess,58,Diamond Rio,contemporary country;country;country road,0.475,0.663
Is This Love,66,Bob Marley & The Wailers,reggae;roots reggae,0.775,0.559
Chic 'N' Stu,65,System Of A Down,alternative metal;nu metal;rap metal;rock,0.611,0.795
Comer a Besos,65,Los Temerarios,grupera;musica mexicana;ranchera,0.742,0.743
Runaway,56,NB Ridaz,chicano rap,0.718,0.672
Put That Woman First,59,Jaheim,contemporary r&b;new jack swing;r&b;urban contemporary,0.649,0.536
California - Tchad Blake Mix,66,Phantom Planet,,0.4,0.805
Awnaw - All Hooks up Version,56,Nappy Roots;Jazze Pha,dirty south rap,0.718,0.675
Poem,59,Taproot,alternative metal;industrial metal;nu metal;post-grunge,0.364,0.912
Here Is Gone,60,The Goo Goo Dolls,neo mellow;permanent wave;pop rock;post-grunge,0.338,0.685
My Dad's Gone Crazy,63,Eminem;Hailie Jade,detroit hip hop;hip hop;rap,0.73,0.698
The Big Rock Candy Mountain,57,Harry McClintock,traditional folk,0.668,0.172
Ring of Fire,61,Johnny Cash,arkansas country;outlaw country;rock,0.661,0.517
The Seed (2.0),66,The Roots;Cody Chesnutt,conscious hip hop;east coast hip hop;hip hop;philly rap;political hip hop,0.758,0.957
La Chica Sexy,60,Los Tucanes De Tijuana,banda;corrido;musica bajacaliforniana;musica mexicana;norteno,0.834,0.862
What's Luv? (feat. Ashanti),65,Fat Joe;Ashanti,bronx hip hop;east coast hip hop;gangster rap;hardcore hip hop;hip hop;pop rap;rap;trap,0.829,0.688
Made You Look,60,Nas,conscious hip hop;east coast hip hop;gangster rap;hardcore hip hop;hip hop;queens hip hop;rap,0.658,0.936
Get Down,65,Nas,conscious hip hop;east coast hip hop;gangster rap;hardcore hip hop;hip hop;queens hip hop;rap,0.835,0.718
The Tide Is High - Radio Mix,67,Atomic Kitten,candy pop;dance pop;europop;girl group,0.783,0.649
Dosed,66,Red Hot Chili Peppers,alternative rock;funk metal;funk rock;permanent wave;rock,0.571,0.8
Song For The Dead,57,Queens of the Stone Age,alternative metal;alternative rock;grunge;modern rock;nu metal;palm desert scene;rock;stoner metal;stoner rock,0.339,0.933
"Bump, Bump, Bump (feat. P. Diddy)",55,B2K;Diddy,boy band;contemporary r&b;hip pop;r&b;urban contemporary,0.834,0.685
My Name (feat. Eminem & Nate Dogg),56,Xzibit;Eminem;Nate Dogg,detroit hip hop;g funk;gangster rap;hardcore hip hop;hip hop;west coast rap,0.841,0.739
Closure,58,Chevelle,alternative metal;christian rock;nu metal;post-grunge,0.289,0.736
Grindin',58,Clipse,alternative hip hop;hardcore hip hop;hip hop;southern hip hop;virginia hip hop,0.592,0.77
Natural High - Single Version,57,Bloodstone,classic soul;disco;funk;motown;p funk;post-disco;quiet storm;soul;southern soul,0.332,0.371
Ain't It Funny (feat. Ja Rule & Cadillac Tah) - Murder Remix,62,Jennifer Lopez;Ja Rule;Cadillac Tah,dance pop;pop;urban contemporary,0.781,0.746
You’ll Think Of Me,59,Keith Urban,australian country;australian pop;contemporary country;country;country road,0.581,0.49
These Days,57,Rascal Flatts,contemporary country;country;country road,0.587,0.778
Polyamorous,57,Breaking Benjamin,alternative metal;nu metal;post-grunge,0.544,0.895
First It Giveth,56,Queens of the Stone Age,alternative metal;alternative rock;grunge;modern rock;nu metal;palm desert scene;rock;stoner metal;stoner rock,0.448,0.966
Drunken Lullabies,63,Flogging Molly,celtic punk;celtic rock;punk,0.386,0.966
I'll Be Your Man,61,The Black Keys,alternative rock;blues rock;garage rock;indie rock;indietronica;modern blues rock;modern rock;punk blues;rock;roots rock,0.597,0.729
Closer,58,Goapele,neo soul;r&b;urban contemporary,0.714,0.436
Like I Love You,64,Justin Timberlake,dance pop;pop,0.853,0.811
Grey Street,56,Dave Matthews Band,jam band;neo mellow;pop rock,0.527,0.908
María Elena,62,Los Caminantes,grupera;gruperas inmortales;musica mexicana;norteno;ranchera,0.784,0.801
Acid Raindrops,59,People Under The Stairs,alternative hip hop;jazz rap,0.859,0.684
What's Golden,62,Jurassic 5,alternative hip hop;hip hop,0.828,0.801
You've Really Got A Hold On Me - Alternate Stereo Mix,57,Smokey Robinson & The Miracles,classic soul;motown;quiet storm;soul,0.64,0.381
Mariposa Traicionera,68,Maná,latin arena pop;latin pop;latin rock;mexican pop;mexican rock;rock en espanol,0.773,0.794
Away From The Sun,60,3 Doors Down,alternative metal;nu metal;post-grunge;rock,0.541,0.677
Dígale,74,David Bisbal,latin arena pop;latin pop;spanish pop;spanish pop rock,0.57,0.474
I'm Gonna Getcha Good,62,Shania Twain,canadian country;canadian pop;contemporary country;country;country dawn,0.723,0.789
Una Lágrima No Basta,63,Los Temerarios,grupera;musica mexicana;ranchera,0.706,0.58
The Way We Get By,59,Spoon,alternative rock;austindie;indie rock;modern rock,0.726,0.678
Sé Que Te Amo,65,Los Temerarios,grupera;musica mexicana;ranchera,0.851,0.5
"I'm Still Here (Jim's Theme) - From ""Treasure Planet""/Soundtrack Version",61,John Rzeznik,,0.531,0.597
Buried Myself Alive,59,The Used,alternative metal;neon pop punk;pop emo;post-grunge;post-hardcore;screamo,0.26,0.923
Miss You,62,Aaliyah,contemporary r&b;dance pop;hip pop;r&b;urban contemporary,0.678,0.338
Do You Call My Name,57,Ra,alternative metal;nu metal;post-grunge,0.438,0.942
All I Have,57,LL COOL J;Jennifer Lopez,east coast hip hop;golden age hip hop;hip hop;old school hip hop;queens hip hop;rap,0.707,0.655
Could You Be Loved,64,Bob Marley & The Wailers,reggae;roots reggae,0.913,0.724
I Will Be Heard,59,Hatebreed,alternative metal;connecticut hardcore;hardcore;industrial metal;melodic metalcore;metalcore;nu metal,0.585,0.907
La Culpa No Tengo Yo,62,Los Temerarios,grupera;musica mexicana;ranchera,0.61,0.565
Better Dayz,62,2Pac;Mr. Biggs,g funk;gangster rap;hip hop;rap;west coast rap,0.752,0.735
What It Is To Burn - New Version,54,Finch,emo;pop punk;post-hardcore;screamo,0.258,0.735
Wanted Dread and Alive - 2002 Remaster,58,Peter Tosh,reggae;roots reggae,0.795,0.731
Roulette,66,System Of A Down,alternative metal;nu metal;rap metal;rock,0.474,0.477
I Just Died,58,Amerie,contemporary r&b;hip pop;neo soul;r&b;urban contemporary,0.716,0.601
Young,55,Kenny Chesney,contemporary country;country;country road,0.684,0.84
Felina,61,Hector & Tito,reggaeton,0.849,0.922
Excuse Me Miss,58,JAY-Z,east coast hip hop;gangster rap;hip hop;pop rap;rap,0.714,0.862
All I Have (feat. LL Cool J),58,Jennifer Lopez;LL COOL J,dance pop;pop;urban contemporary,0.699,0.668
Gossip Folks (feat. Ludacris),59,Missy Elliott;Ludacris,dance pop;hip hop;hip pop;neo soul;pop rap;r&b;rap;urban contemporary;virginia hip hop,0.707,0.538
Broken,58,Seether,alternative metal;nu metal;post-grunge;south african rock,0.666,0.475
Daddy Sang Bass,60,Johnny Cash,arkansas country;outlaw country;rock,0.681,0.638
Sad Eyes - Remastered 2002,57,Robert John,,0.431,0.463
I'm Alive,71,Céline Dion,canadian pop,0.691,0.64
"Honey, This Mirror Isn't Big Enough for the Two of Us",58,My Chemical Romance,emo;modern rock;pop punk;pov: indie;rock,0.383,0.946
Lost Cause,59,Beck,alternative rock;anti-folk;permanent wave;rock,0.611,0.577
Maria,71,Blondie,candy pop;new wave pop;permanent wave;power pop;rock;synthpop,0.548,0.8
Vampires Will Never Hurt You,59,My Chemical Romance,emo;modern rock;pop punk;pov: indie;rock,0.327,0.963
I'm Not In Love,64,10cc,album rock;art rock;classic rock;glam rock;mellow gold;new romantic;soft rock;yacht rock,0.394,0.663
Stop Crying Your Heart Out,67,Oasis,beatlesque;britpop;madchester;permanent wave;rock,0.331,0.558
Let The Drummer Kick,59,Citizen Cope,alternative rock,0.766,0.641
Quite Buttery,59,Count Bass D;MF DOOM,alternative hip hop;jazz rap,0.54,0.736
Let Go,58,Frou Frou,downtempo;etherpop;metropopolis,0.524,0.559
"Jesus, Etc. - 2022 Remaster",60,Wilco,alternative country;alternative rock;chicago indie;indie rock;roots rock;stomp and holler,0.754,0.306
Still Ballin' - Nitty Remix,62,2Pac;Trick Daddy,g funk;gangster rap;hip hop;rap;west coast rap,0.941,0.721
One Love / People Get Ready - Medley,63,Bob Marley & The Wailers,reggae;roots reggae,0.73,0.508
#1,57,Nelly,dance pop;gangster rap;hip hop;pop rap;rap;st louis rap;urban contemporary,0.69,0.592
Square Dance,63,Eminem,detroit hip hop;hip hop;rap,0.763,0.675
You've Got to Hide Your Love Away,55,Eddie Vedder,acoustic rock;grunge;permanent wave,0.412,0.549
Don't Forget Me,64,Red Hot Chili Peppers,alternative rock;funk metal;funk rock;permanent wave;rock,0.499,0.705
8 Mile,63,Eminem,detroit hip hop;hip hop;rap,0.74,0.94
Cell Block Tango,59,Catherine Zeta-Jones;Susan Misner;Deidre Goodwin;Denise Faye;Ekaterina Chtchelkanova;Mya Harrison;Taye Diggs,hollywood;show tunes,0.601,0.34
Buffalo Soldier,63,Bob Marley & The Wailers,reggae;roots reggae,0.93,0.462
Run-Around,56,Blues Traveler,heartland rock;jam band;pop rock;post-grunge,0.591,0.907
Rabbit Run,60,Eminem,detroit hip hop;hip hop;rap,0.563,0.842
Crimson & Clover - Single Version,54,Tommy James & The Shondells,bubblegum pop;classic garage rock;classic rock;country rock;folk rock;mellow gold;psychedelic rock;rock-and-roll,0.412,0.59
Forever And For Always,60,Shania Twain,canadian country;canadian pop;contemporary country;country;country dawn,0.469,0.722
Ghostwriter,62,RJD2,electronica;instrumental hip hop;jazztronica,0.747,0.68
You Are My Sunshine (Version 1),59,Elizabeth Mitchell,children's folk;children's music;kindie rock,0.477,0.179
Get By,58,Talib Kweli,conscious hip hop;east coast hip hop;hip hop,0.662,0.928
Es Muy Raro Que Vuelva,65,Duelo,banda;musica mexicana;norteno;tejano,0.739,0.464
Stir It Up,62,Bob Marley & The Wailers,reggae;roots reggae,0.751,0.463
Just Want to Praise You,55,Maurette Brown Clark,gospel,0.466,0.878
When The Music Stops,63,Eminem;D12,detroit hip hop;hip hop;rap,0.722,0.553
There Is,61,Box Car Racer,pop punk,0.623,0.853
Gasoline,60,Audioslave,alternative metal;alternative rock;grunge;hard rock;nu metal;permanent wave;post-grunge;rock;supergroup,0.379,0.716
The Swan,62,Camille Saint-Saëns;Sebastian Comberti;Miriam Keogh,classical;french romanticism;late romantic era,0.216,0.149
El Sube Y Baja,58,Montez de Durango,banda;duranguense;grupera;musica mexicana;norteno,0.859,0.717
So Far Away,69,Staind,alternative metal;nu metal;post-grunge,0.407,0.896
Going Under,76,Evanescence,alternative metal,0.37,0.858
Red Dirt Road,70,Brooks & Dunn,contemporary country;country;country road,0.555,0.868
Suds in the Bucket,69,Sara Evans,contemporary country;country;country dawn;country gospel;country road,0.511,0.903
I Hate Everything About You,77,Three Days Grace,alternative metal;canadian metal;canadian rock;nu metal;post-grunge;rock,0.498,0.83
Crazy In Love (feat. Jay-Z),81,Beyoncé;JAY-Z,pop;r&b,0.646,0.77
P.I.M.P.,71,50 Cent,east coast hip hop;gangster rap;hip hop;pop rap;queens hip hop;rap,0.7,0.758
Reptilia,78,The Strokes,alternative rock;garage rock;modern rock;permanent wave;rock,0.489,0.649
In Da Club,78,50 Cent,east coast hip hop;gangster rap;hip hop;pop rap;queens hip hop;rap,0.902,0.72
Many Men (Wish Death),74,50 Cent,east coast hip hop;gangster rap;hip hop;pop rap;queens hip hop;rap,0.653,0.826
Lying from You,68,Linkin Park,alternative metal;nu metal;post-grunge;rap metal;rock,0.535,0.951
Numb,87,Linkin Park,alternative metal;nu metal;post-grunge;rap metal;rock,0.496,0.863
I Miss You,73,blink-182,alternative metal;modern rock;pop punk;punk;rock;socal pop punk,0.664,0.781
Kokomo,72,The Beach Boys,baroque pop;classic rock;folk rock;mellow gold;psychedelic rock;rock;sunshine pop,0.682,0.635
Behind Blue Eyes,78,Limp Bizkit,alternative metal;funk metal;nu metal;post-grunge;rap metal;rock,0.595,0.489
What Was I Thinkin',72,Dierks Bentley,contemporary country;country;country road,0.551,0.825
Dile,84,Don Omar,latin hip hop;puerto rican pop;reggaeton;trap latino;urbano latino,0.817,0.714
Always On Time,67,Ja Rule;Ashanti,dance pop;east coast hip hop;gangster rap;hip hop;hip pop;pop rap;queens hip hop;rap;urban contemporary,0.832,0.699
Faint,82,Linkin Park,alternative metal;nu metal;post-grunge;rap metal;rock,0.554,0.978
The Way You Move (feat. Sleepy Brown),72,Outkast;Sleepy Brown,atl hip hop;dirty south rap;hip hop;old school atlanta hip hop;rap;southern hip hop,0.871,0.597
Collie Man,67,Slightly Stoopid,reggae fusion;reggae rock,0.609,0.706
I Stand Alone,71,Godsmack,alternative metal;nu metal;post-grunge;rap metal,0.217,0.92
Bring Me To Life,86,Evanescence,alternative metal,0.331,0.943
Right Thurr,71,Chingy,crunk;dirty south rap;hip pop;pop rap;r&b;southern hip hop,0.866,0.749
Suga Suga,75,Baby Bash;Frankie J,chicano rap;latin hip hop;pop rap;southern hip hop;texas latin rap;urban contemporary,0.662,0.748
The Reason,84,Hoobastank,alternative metal;funk metal;nu metal;pop rock;post-grunge,0.472,0.671
Roses,73,Outkast,atl hip hop;dirty south rap;hip hop;old school atlanta hip hop;rap;southern hip hop,0.751,0.708
Toxic,84,Britney Spears,dance pop;pop,0.774,0.838
Hey Ya!,84,Outkast,atl hip hop;dirty south rap;hip hop;old school atlanta hip hop;rap;southern hip hop,0.727,0.974
Are You Gonna Be My Girl,78,Jet,garage rock;modern rock;pop rock,0.613,0.953
Somewhere I Belong,71,Linkin Park,alternative metal;nu metal;post-grunge;rap metal;rock,0.451,0.951
Feeling This,71,blink-182,alternative metal;modern rock;pop punk;punk;rock;socal pop punk,0.411,0.962
Breaking the Habit,68,Linkin Park,alternative metal;nu metal;post-grunge;rap metal;rock,0.579,0.849
Where Is The Love?,82,Black Eyed Peas,dance pop;pop;pop rap,0.834,0.699
21 Questions,76,50 Cent;Nate Dogg,east coast hip hop;gangster rap;hip hop;pop rap;queens hip hop;rap,0.576,0.807
Pa' Que Retozen,83,Tego Calderón,latin hip hop;rap boricua;reggaeton;trap latino;urbano latino,0.815,0.856
Ocean Avenue,76,Yellowcard,alternative metal;pop punk;post-grunge;socal pop punk,0.486,0.904
If I Ain't Got You,82,Alicia Keys,neo soul;pop;r&b,0.609,0.444
Slow Motion,67,JUVENILE;Soulja Slim,bounce;crunk;dirty south rap;new orleans rap;southern hip hop,0.713,0.734
45,68,Shinedown,alternative metal;nu metal;post-grunge,0.446,0.657
Seven Nation Army,86,The White Stripes,alternative rock;blues rock;detroit rock;garage rock;modern blues rock;permanent wave;punk blues;rock,0.743,0.446
My Immortal,77,Evanescence,alternative metal,0.19,0.265
Someday,74,Nickelback,alternative metal;canadian rock;post-grunge,0.455,0.858
Stacy's Mom,76,Fountains Of Wayne,pop rock;power pop,0.774,0.75
Rock Wit U (Awww Baby),72,Ashanti,dance pop;hip pop;r&b;urban contemporary,0.71,0.797
Closing Time,76,Semisonic,pop rock;post-grunge,0.478,0.854
El Águila Blanca,75,Los Tucanes De Tijuana,banda;corrido;musica bajacaliforniana;musica mexicana;norteno,0.821,0.807
Soul to Squeeze,72,Red Hot Chili Peppers,alternative rock;funk metal;funk rock;permanent wave;rock,0.663,0.546
Maps,71,Yeah Yeah Yeahs,alternative dance;alternative rock;art pop;dance-punk;garage rock;indie rock;modern rock;neo-synthpop;new rave,0.502,0.941
I Hate Everything About You,73,Three Days Grace,alternative metal;canadian metal;canadian rock;nu metal;post-grunge;rock,0.498,0.83
Where The Hood At,72,DMX,east coast hip hop;gangster rap;hardcore hip hop;hip hop;rap,0.537,0.948
Y'all Want a Single,65,Korn,alternative metal;funk metal;hard rock;nu metal;post-grunge;rap metal;rock,0.756,0.811
Needles and Pins,65,Deftones,alternative metal;nu metal;rap metal;rock;sacramento indie,0.374,0.916
Shake Ya Tailfeather - Radio Edit,65,Murphy Lee;Nelly;Diddy,dirty south rap;st louis rap,0.715,0.733
Baby Boy (feat. Sean Paul),71,Beyoncé;Sean Paul,pop;r&b,0.655,0.488
99 Problems,69,JAY-Z,east coast hip hop;gangster rap;hip hop;pop rap;rap,0.494,0.887
Más Que Tu Amigo,75,Marco Antonio Solís,grupera;latin pop;musica mexicana;ranchera,0.786,0.604
Patiently Waiting,65,50 Cent;Eminem,east coast hip hop;gangster rap;hip hop;pop rap;queens hip hop;rap,0.538,0.675
Let's Get It Started - Spike Mix,73,Black Eyed Peas,dance pop;pop;pop rap,0.783,0.794
Unholy Confessions,71,Avenged Sevenfold,alternative metal;nu metal,0.447,0.876
Collide,67,Howie Day,acoustic pop;neo mellow;pop rock,0.636,0.625
Dale Don Dale,74,Don Omar,latin hip hop;puerto rican pop;reggaeton;trap latino;urbano latino,0.831,0.818
Dirt Off Your Shoulder,67,JAY-Z,east coast hip hop;gangster rap;hip hop;pop rap;rap,0.78,0.657
No Letting Go,68,Wayne Wonder,dancehall;reggae fusion,0.496,0.819
Only One,67,Yellowcard,alternative metal;pop punk;post-grunge;socal pop punk,0.477,0.907
Just Like You,67,Three Days Grace,alternative metal;canadian metal;canadian rock;nu metal;post-grunge;rock,0.373,0.737
Such Great Heights - Remastered,68,The Postal Service,chamber pop;indie rock;indietronica;seattle indie,0.644,0.808
The Boys of Summer,68,The Ataris,emo;pop punk;skate punk,0.251,0.954
Can't Take My Eyes off You,72,Frankie Valli,adult standards;bubblegum pop;lounge;rock-and-roll,0.575,0.764
100 Years,68,Five For Fighting,neo mellow;piano rock;pop rock,0.643,0.569
Vete Ya,73,Valentín Elizalde,banda;corrido;musica mexicana;musica sonorense;norteno;sierreno,0.811,0.323
Next Levels,67,King Geedorah,alternative hip hop,0.729,0.557
Naughty Girl,69,Beyoncé,pop;r&b,0.588,0.461
I Believe in a Thing Called Love,72,The Darkness,glam metal;hard rock,0.442,0.846
Frontin' (feat. Jay-Z) - Club Mix,69,Pharrell Williams;JAY-Z,dance pop;pop,0.894,0.404
Ignition - Remix,70,R. Kelly,,0.795,0.523
Long Black Train,63,Josh Turner,contemporary country;country;country road,0.537,0.699
I Don't Want to Be,66,Gavin DeGraw,neo mellow;pop rock,0.423,0.862
Sway,75,Michael Bublé,adult standards;canadian pop;jazz pop;lounge,0.713,0.639
Daughters,69,John Mayer,neo mellow;singer-songwriter,0.674,0.413
Move Your Feet,63,Junior Senior,danish pop,0.755,0.895
12:51,70,The Strokes,alternative rock;garage rock;modern rock;permanent wave;rock,0.451,0.889
So Gone,66,Monica,contemporary r&b;hip pop;r&b;urban contemporary,0.618,0.552
You Don't Know My Name,67,Alicia Keys,neo soul;pop;r&b,0.264,0.663
Stillborn,68,Black Label Society,alternative metal;groove metal;hard rock;metal;nu metal,0.585,0.881
Simple Man - Rock Version,64,Shinedown,alternative metal;nu metal;post-grunge,0.532,0.625
It's My Life,63,No Doubt,dance pop;dance rock;permanent wave;pop rock;rock,0.606,0.75
Meant to Live,67,Switchfoot,ccm;christian alternative rock;christian music,0.397,0.903
Dangerously In Love,64,Beyoncé,pop;r&b,0.609,0.407
I Love This Bar,66,Toby Keith,classic oklahoma country;contemporary country;country;country road,0.608,0.825
Mud on the Tires,64,Brad Paisley,contemporary country;country;country road,0.445,0.744
Hands Down,65,Dashboard Confessional,emo;neon pop punk;pop punk;pop rock,0.463,0.827
Until the Day I Die,68,Story Of The Year,neon pop punk;pop punk;screamo,0.597,0.931
If I Can't,66,50 Cent,east coast hip hop;gangster rap;hip hop;pop rap;queens hip hop;rap,0.892,0.631
Grand Theft Autumn / Where Is Your Boy,67,Fall Out Boy,emo;modern rock;pop;pop punk;rock,0.628,0.886
Salt Shaker,64,Ying Yang Twins;Lil Jon & The East Side Boyz,atl hip hop;crunk;dirty south rap;old school atlanta hip hop;southern hip hop,0.884,0.697
Into You (feat. Tamia),69,Fabolous;Tamia,gangster rap;hip hop;pop rap;rap;trap;urban contemporary,0.546,0.538
"La leçon particulière - Bande originale du film ""La leçon particulière""",75,Francis Lai;Christian Gaubert,classic soundtrack;french soundtrack;vintage french electronic,0.185,0.469
Eres,77,Café Tacvba,latin alternative;latin pop;latin rock;mexican rock;rock en espanol,0.583,0.731
I'm Gonna Be (500 Miles),73,The Proclaimers,celtic rock;scottish rock,0.851,0.551
Suga Suga,62,Baby Bash;Frankie J,chicano rap;latin hip hop;pop rap;southern hip hop;texas latin rap;urban contemporary,0.691,0.741
Wave on Wave,61,Pat Green,classic texas country;texas country,0.671,0.755
Breathing,64,Yellowcard,alternative metal;pop punk;post-grunge;socal pop punk,0.382,0.932
Simple Man - Acoustic,63,Shinedown,alternative metal;nu metal;post-grunge,0.568,0.367
Que Lloro,77,Sin Bandera,latin arena pop;latin pop;mexican pop,0.593,0.415
Can't Let You Go (feat. Mike Shorey & Lil' Mo),65,Fabolous;Mike Shorey;Lil' Mo,gangster rap;hip hop;pop rap;rap;trap;urban contemporary,0.646,0.6
Cold Hard Bitch,63,Jet,garage rock;modern rock;pop rock,0.458,0.895
Lockjaw,64,King Geedorah,alternative hip hop,0.601,0.918
Numb,62,Linkin Park,alternative metal;nu metal;post-grunge;rap metal;rock,0.496,0.863
Drinkin' Bone,62,Tracy Byrd,contemporary country;country;country road,0.77,0.833
"Quizás Si, Quizás No",68,Grupo Bryndis,banda;grupera;gruperas inmortales;grupero romantico;musica mexicana;norteno,0.634,0.738
Sumérgeme,71,Jesús Adrián Romero,latin christian;rock cristiano,0.492,0.51
Poppin' Them Thangs,73,G-Unit,gangster rap;hardcore hip hop;hip hop;nyc rap;pop rap;queens hip hop;rap;southern hip hop,0.769,0.818
I Don't Wanna Be Me,68,Type O Negative,alternative metal;gothic metal;industrial metal;industrial rock;metal;nu metal,0.474,0.977
Minerva,65,Deftones,alternative metal;nu metal;rap metal;rock;sacramento indie,0.349,0.934
Wanna Get To Know You,65,G-Unit;Joe,gangster rap;hardcore hip hop;hip hop;nyc rap;pop rap;queens hip hop;rap;southern hip hop,0.513,0.826
Gangsta Nation,68,Westside Connection,g funk;gangster rap;west coast rap,0.843,0.7
El Indio Enamorado,67,Grupo Laberinto,cumbia sonorense;musica sonorense;tecnobanda;tejano,0.65,0.427
Whiskey Lullaby (feat. Alison Krauss),65,Brad Paisley;Alison Krauss,contemporary country;country;country road,0.52,0.333
